"","V1"
"m2h_5","prenatal: fchv - cs"
"m2h_6","prenatal: fchv - cs"
"m2i_1","na - prenatal: cs other person"
"m2i_2","na - prenatal: cs other person"
"m2i_3","na - prenatal: cs other person"
"m2i_4","na - prenatal: cs other person"
"m2i_5","na - prenatal: cs other person"
"m2i_6","na - prenatal: cs other person"
"m2j_1","na - prenatal: cs other person"
"m2j_2","na - prenatal: cs other person"
"m2j_3","na - prenatal: cs other person"
"m2j_4","na - prenatal: cs other person"
"m2j_5","na - prenatal: cs other person"
"m2j_6","na - prenatal: cs other person"
"m2k_1","prenatal: other"
"m2k_2","prenatal: other"
"m2k_3","prenatal: other"
"m2k_4","prenatal: other"
"m2k_5","prenatal: other"
"m2k_6","prenatal: other"
"m2l_1","na - prenatal: cs other"
"m2l_2","na - prenatal: cs other"
"m2l_3","na - prenatal: cs other"
"m2l_4","na - prenatal: cs other"
"m2l_5","na - prenatal: cs other"
"m2l_6","na - prenatal: cs other"
"m2m_1","na - prenatal: cs other"
"m2m_2","na - prenatal: cs other"
"m2m_3","na - prenatal: cs other"
"m2m_4","na - prenatal: cs other"
"m2m_5","na - prenatal: cs other"
"m2m_6","na - prenatal: cs other"
"m2n_1","prenatal: no one"
"m2n_2","prenatal: no one"
"m2n_3","prenatal: no one"
"m2n_4","prenatal: no one"
"m2n_5","prenatal: no one"
"m2n_6","prenatal: no one"
"m3a_1","assistance: doctor"
"m3a_2","assistance: doctor"
"m3a_3","assistance: doctor"
"m3a_4","assistance: doctor"
"m3a_5","assistance: doctor"
"m3a_6","assistance: doctor"
"m3b_1","assistance: nurse/midwife"
"m3b_2","assistance: nurse/midwife"
"m3b_3","assistance: nurse/midwife"
"m3b_4","assistance: nurse/midwife"
"m3b_5","assistance: nurse/midwife"
"m3b_6","assistance: nurse/midwife"
"m3c_1","assistance: health assistant/ahw"
"m3c_2","assistance: health assistant/ahw"
"m3c_3","assistance: health assistant/ahw"
"m3c_4","assistance: health assistant/ahw"
"m3c_5","assistance: health assistant/ahw"
"m3c_6","assistance: health assistant/ahw"
"m3d_1","na - assistance: cs health professional"
"m3d_2","na - assistance: cs health professional"
"m3d_3","na - assistance: cs health professional"
"m3d_4","na - assistance: cs health professional"
"m3d_5","na - assistance: cs health professional"
"m3d_6","na - assistance: cs health professional"
"m3e_1","na - assistance: cs health professional"
"m3e_2","na - assistance: cs health professional"
"m3e_3","na - assistance: cs health professional"
"m3e_4","na - assistance: cs health professional"
"m3e_5","na - assistance: cs health professional"
"m3e_6","na - assistance: cs health professional"
"m3f_1","na - assistance: cs health professional"
"m3f_2","na - assistance: cs health professional"
"m3f_3","na - assistance: cs health professional"
"m3f_4","na - assistance: cs health professional"
"m3f_5","na - assistance: cs health professional"
"m3f_6","na - assistance: cs health professional"
"m3g_1","assistance: traditional birth attendant"
"m3g_2","assistance: traditional birth attendant"
"m3g_3","assistance: traditional birth attendant"
"m3g_4","assistance: traditional birth attendant"
"m3g_5","assistance: traditional birth attendant"
"m3g_6","assistance: traditional birth attendant"
"m3h_1","assistance: relative/friend"
"m3h_2","assistance: relative/friend"
"m3h_3","assistance: relative/friend"
"m3h_4","assistance: relative/friend"
"m3h_5","assistance: relative/friend"
"m3h_6","assistance: relative/friend"
"m3i_1","assistance: fchv"
"m3i_2","assistance: fchv"
"m3i_3","assistance: fchv"
"m3i_4","assistance: fchv"
"m3i_5","assistance: fchv"
"m3i_6","assistance: fchv"
"m3j_1","na - assistance: cs other person"
"m3j_2","na - assistance: cs other person"
"m3j_3","na - assistance: cs other person"
"m3j_4","na - assistance: cs other person"
"m3j_5","na - assistance: cs other person"
"m3j_6","na - assistance: cs other person"
"m3k_1","assistance: other"
"m3k_2","assistance: other"
"m3k_3","assistance: other"
"m3k_4","assistance: other"
"m3k_5","assistance: other"
"m3k_6","assistance: other"
"m3l_1","na - assistance: cs other"
"m3l_2","na - assistance: cs other"
"m3l_3","na - assistance: cs other"
"m3l_4","na - assistance: cs other"
"m3l_5","na - assistance: cs other"
"m3l_6","na - assistance: cs other"
"m3m_1","na - assistance: cs other"
"m3m_2","na - assistance: cs other"
"m3m_3","na - assistance: cs other"
"m3m_4","na - assistance: cs other"
"m3m_5","na - assistance: cs other"
"m3m_6","na - assistance: cs other"
"m3n_1","assistance: no one"
"m3n_2","assistance: no one"
"m3n_3","assistance: no one"
"m3n_4","assistance: no one"
"m3n_5","assistance: no one"
"m3n_6","assistance: no one"
"m4_1","duration of breastfeeding"
"m4_2","duration of breastfeeding"
"m4_3","duration of breastfeeding"
"m4_4","duration of breastfeeding"
"m4_5","duration of breastfeeding"
"m4_6","duration of breastfeeding"
"m5_1","months of breastfeeding"
"m5_2","months of breastfeeding"
"m5_3","months of breastfeeding"
"m5_4","months of breastfeeding"
"m5_5","months of breastfeeding"
"m5_6","months of breastfeeding"
"m6_1","duration of amenorrhea"
"m6_2","duration of amenorrhea"
"m6_3","duration of amenorrhea"
"m6_4","duration of amenorrhea"
"m6_5","duration of amenorrhea"
"m6_6","duration of amenorrhea"
"m7_1","months of amenorrhea"
"m7_2","months of amenorrhea"
"m7_3","months of amenorrhea"
"m7_4","months of amenorrhea"
"m7_5","months of amenorrhea"
"m7_6","months of amenorrhea"
"m8_1","duration of abstinence"
"m8_2","duration of abstinence"
"m8_3","duration of abstinence"
"m8_4","duration of abstinence"
"m8_5","duration of abstinence"
"m8_6","duration of abstinence"
"m9_1","months of abstinence"
"m9_2","months of abstinence"
"m9_3","months of abstinence"
"m9_4","months of abstinence"
"m9_5","months of abstinence"
"m9_6","months of abstinence"
"m10_1","wanted pregnancy when became pregnant"
"m10_2","wanted pregnancy when became pregnant"
"m10_3","wanted pregnancy when became pregnant"
"m10_4","wanted pregnancy when became pregnant"
"m10_5","wanted pregnancy when became pregnant"
"m10_6","wanted pregnancy when became pregnant"
"m11_1","desired time would have waited"
"m11_2","desired time would have waited"
"m11_3","desired time would have waited"
"m11_4","desired time would have waited"
"m11_5","desired time would have waited"
"m11_6","desired time would have waited"
"m13_1","timing of 1st antenatal check (months)"
"m13_2","timing of 1st antenatal check (months)"
"m13_3","timing of 1st antenatal check (months)"
"m13_4","timing of 1st antenatal check (months)"
"m13_5","timing of 1st antenatal check (months)"
"m13_6","timing of 1st antenatal check (months)"
"m13a_1","timing of 1st antenatal check (original)"
"m13a_2","timing of 1st antenatal check (original)"
"m13a_3","timing of 1st antenatal check (original)"
"m13a_4","timing of 1st antenatal check (original)"
"m13a_5","timing of 1st antenatal check (original)"
"m13a_6","timing of 1st antenatal check (original)"
"m14_1","number of antenatal visits during pregnancy"
"m14_2","number of antenatal visits during pregnancy"
"m14_3","number of antenatal visits during pregnancy"
"m14_4","number of antenatal visits during pregnancy"
"m14_5","number of antenatal visits during pregnancy"
"m14_6","number of antenatal visits during pregnancy"
"m15_1","place of delivery"
"m15_2","place of delivery"
"m15_3","place of delivery"
"m15_4","place of delivery"
"m15_5","place of delivery"
"m15_6","place of delivery"
"m17_1","delivery by caesarean section"
"m17_2","delivery by caesarean section"
"m17_3","delivery by caesarean section"
"m17_4","delivery by caesarean section"
"m17_5","delivery by caesarean section"
"m17_6","delivery by caesarean section"
"m17a_1","na - timing on decision for caesarean section"
"m17a_2","na - timing on decision for caesarean section"
"m17a_3","na - timing on decision for caesarean section"
"m17a_4","na - timing on decision for caesarean section"
"m17a_5","na - timing on decision for caesarean section"
"m17a_6","na - timing on decision for caesarean section"
"m18_1","size of child at birth"
"m18_2","size of child at birth"
"m18_3","size of child at birth"
"m18_4","size of child at birth"
"m18_5","size of child at birth"
"m18_6","size of child at birth"
"m19_1","birth weight in kilograms (3 decimals)"
"m19_2","birth weight in kilograms (3 decimals)"
"m19_3","birth weight in kilograms (3 decimals)"
"m19_4","birth weight in kilograms (3 decimals)"
"m19_5","birth weight in kilograms (3 decimals)"
"m19_6","birth weight in kilograms (3 decimals)"
"m19a_1","weight at birth/recall"
"m19a_2","weight at birth/recall"
"m19a_3","weight at birth/recall"
"m19a_4","weight at birth/recall"
"m19a_5","weight at birth/recall"
"m19a_6","weight at birth/recall"
"m27_1","na - flag for breastfeeding"
"m27_2","na - flag for breastfeeding"
"m27_3","na - flag for breastfeeding"
"m27_4","na - flag for breastfeeding"
"m27_5","na - flag for breastfeeding"
"m27_6","na - flag for breastfeeding"
"m28_1","na - flag for amenorrhea"
"m28_2","na - flag for amenorrhea"
"m28_3","na - flag for amenorrhea"
"m28_4","na - flag for amenorrhea"
"m28_5","na - flag for amenorrhea"
"m28_6","na - flag for amenorrhea"
"m29_1","na - flag for abstinence"
"m29_2","na - flag for abstinence"
"m29_3","na - flag for abstinence"
"m29_4","na - flag for abstinence"
"m29_5","na - flag for abstinence"
"m29_6","na - flag for abstinence"
"m34_1","when child put to breast"
"m34_2","when child put to breast"
"m34_3","when child put to breast"
"m34_4","when child put to breast"
"m34_5","when child put to breast"
"m34_6","when child put to breast"
"m35_1","na - number of times breastfed during previous night"
"m35_2","na - number of times breastfed during previous night"
"m35_3","na - number of times breastfed during previous night"
"m35_4","na - number of times breastfed during previous night"
"m35_5","na - number of times breastfed during previous night"
"m35_6","na - number of times breastfed during previous night"
"m36_1","na - number of times breastfed during previous day"
"m36_2","na - number of times breastfed during previous day"
"m36_3","na - number of times breastfed during previous day"
"m36_4","na - number of times breastfed during previous day"
"m36_5","na - number of times breastfed during previous day"
"m36_6","na - number of times breastfed during previous day"
"m38_1","drank from bottle with nipple yesterday/last night"
"m38_2","drank from bottle with nipple yesterday/last night"
"m38_3","drank from bottle with nipple yesterday/last night"
"m38_4","drank from bottle with nipple yesterday/last night"
"m38_5","drank from bottle with nipple yesterday/last night"
"m38_6","drank from bottle with nipple yesterday/last night"
"m39a_1","did eat any solid, semi-solid or soft foods yesterday"
"m39a_2","did eat any solid, semi-solid or soft foods yesterday"
"m39a_3","did eat any solid, semi-solid or soft foods yesterday"
"m39a_4","did eat any solid, semi-solid or soft foods yesterday"
"m39a_5","did eat any solid, semi-solid or soft foods yesterday"
"m39a_6","did eat any solid, semi-solid or soft foods yesterday"
"m39_1","number of times ate solid, semi-solid or soft food yesterday"
"m39_2","number of times ate solid, semi-solid or soft food yesterday"
"m39_3","number of times ate solid, semi-solid or soft food yesterday"
"m39_4","number of times ate solid, semi-solid or soft food yesterday"
"m39_5","number of times ate solid, semi-solid or soft food yesterday"
"m39_6","number of times ate solid, semi-solid or soft food yesterday"
"m42a_1","during pregnancy: weighed"
"m42a_2","during pregnancy: weighed"
"m42a_3","during pregnancy: weighed"
"m42a_4","during pregnancy: weighed"
"m42a_5","during pregnancy: weighed"
"m42a_6","during pregnancy: weighed"
"m42b_1","na - during pregnancy: height measured"
"m42b_2","na - during pregnancy: height measured"
"m42b_3","na - during pregnancy: height measured"
"m42b_4","na - during pregnancy: height measured"
"m42b_5","na - during pregnancy: height measured"
"m42b_6","na - during pregnancy: height measured"
"m42c_1","during pregnancy: blood pressure taken"
"m42c_2","during pregnancy: blood pressure taken"
"m42c_3","during pregnancy: blood pressure taken"
"m42c_4","during pregnancy: blood pressure taken"
"m42c_5","during pregnancy: blood pressure taken"
"m42c_6","during pregnancy: blood pressure taken"
"m42d_1","during pregnancy: urine sample taken"
"m42d_2","during pregnancy: urine sample taken"
"m42d_3","during pregnancy: urine sample taken"
"m42d_4","during pregnancy: urine sample taken"
"m42d_5","during pregnancy: urine sample taken"
"m42d_6","during pregnancy: urine sample taken"
"m42e_1","during pregnancy: blood sample taken"
"m42e_2","during pregnancy: blood sample taken"
"m42e_3","during pregnancy: blood sample taken"
"m42e_4","during pregnancy: blood sample taken"
"m42e_5","during pregnancy: blood sample taken"
"m42e_6","during pregnancy: blood sample taken"
"m42f_1","during pregnancy: listen to baby's heartbeat"
"m42f_2","during pregnancy: listen to baby's heartbeat"
"m42f_3","during pregnancy: listen to baby's heartbeat"
"m42f_4","during pregnancy: listen to baby's heartbeat"
"m42f_5","during pregnancy: listen to baby's heartbeat"
"m42f_6","during pregnancy: listen to baby's heartbeat"
"m42g_1","during pregnancy: talk about foods to eat"
"m42g_2","during pregnancy: talk about foods to eat"
"m42g_3","during pregnancy: talk about foods to eat"
"m42g_4","during pregnancy: talk about foods to eat"
"m42g_5","during pregnancy: talk about foods to eat"
"m42g_6","during pregnancy: talk about foods to eat"
"m42h_1","during pregnancy: talk about breastfeeding"
"m42h_2","during pregnancy: talk about breastfeeding"
"m42h_3","during pregnancy: talk about breastfeeding"
"m42h_4","during pregnancy: talk about breastfeeding"
"m42h_5","during pregnancy: talk about breastfeeding"
"m42h_6","during pregnancy: talk about breastfeeding"
"m42i_1","during pregnancy: ask about vaginal bleeding"
"m42i_2","during pregnancy: ask about vaginal bleeding"
"m42i_3","during pregnancy: ask about vaginal bleeding"
"m42i_4","during pregnancy: ask about vaginal bleeding"
"m42i_5","during pregnancy: ask about vaginal bleeding"
"m42i_6","during pregnancy: ask about vaginal bleeding"
"m42j_1","na - during pregnancy: talk about when baby is due"
"m42j_2","na - during pregnancy: talk about when baby is due"
"m42j_3","na - during pregnancy: talk about when baby is due"
"m42j_4","na - during pregnancy: talk about when baby is due"
"m42j_5","na - during pregnancy: talk about when baby is due"
"m42j_6","na - during pregnancy: talk about when baby is due"
"m42k_1","na - during pregnancy: pay attention to baby movements"
"m42k_2","na - during pregnancy: pay attention to baby movements"
"m42k_3","na - during pregnancy: pay attention to baby movements"
"m42k_4","na - during pregnancy: pay attention to baby movements"
"m42k_5","na - during pregnancy: pay attention to baby movements"
"m42k_6","na - during pregnancy: pay attention to baby movements"
"m42l_1","during pregnancy: eat healthy food - cs"
"m42l_2","during pregnancy: eat healthy food - cs"
"m42l_3","during pregnancy: eat healthy food - cs"
"m42l_4","during pregnancy: eat healthy food - cs"
"m42l_5","during pregnancy: eat healthy food - cs"
"m42l_6","during pregnancy: eat healthy food - cs"
"m42m_1","during pregnancy: extra meal - cs"
"m42m_2","during pregnancy: extra meal - cs"
"m42m_3","during pregnancy: extra meal - cs"
"m42m_4","during pregnancy: extra meal - cs"
"m42m_5","during pregnancy: extra meal - cs"
"m42m_6","during pregnancy: extra meal - cs"
"m42n_1","during pregnancy: weight gain - cs"
"m42n_2","during pregnancy: weight gain - cs"
"m42n_3","during pregnancy: weight gain - cs"
"m42n_4","during pregnancy: weight gain - cs"
"m42n_5","during pregnancy: weight gain - cs"
"m42n_6","during pregnancy: weight gain - cs"
"m43_1","na - told about pregnancy complications"
"m43_2","na - told about pregnancy complications"
"m43_3","na - told about pregnancy complications"
"m43_4","na - told about pregnancy complications"
"m43_5","na - told about pregnancy complications"
"m43_6","na - told about pregnancy complications"
"m44_1","na - told where to go for pregnancy complications"
"m44_2","na - told where to go for pregnancy complications"
"m44_3","na - told where to go for pregnancy complications"
"m44_4","na - told where to go for pregnancy complications"
"m44_5","na - told where to go for pregnancy complications"
"m44_6","na - told where to go for pregnancy complications"
"m45_1","during pregnancy, given or bought iron tablets/syrup"
"m45_2","during pregnancy, given or bought iron tablets/syrup"
"m45_3","during pregnancy, given or bought iron tablets/syrup"
"m45_4","during pregnancy, given or bought iron tablets/syrup"
"m45_5","during pregnancy, given or bought iron tablets/syrup"
"m45_6","during pregnancy, given or bought iron tablets/syrup"
"m46_1","days tablets or syrup taken"
"m46_2","days tablets or syrup taken"
"m46_3","days tablets or syrup taken"
"m46_4","days tablets or syrup taken"
"m46_5","days tablets or syrup taken"
"m46_6","days tablets or syrup taken"
"m47_1","na - during pregnancy, had difficulty with daylight vision"
"m47_2","na - during pregnancy, had difficulty with daylight vision"
"m47_3","na - during pregnancy, had difficulty with daylight vision"
"m47_4","na - during pregnancy, had difficulty with daylight vision"
"m47_5","na - during pregnancy, had difficulty with daylight vision"
"m47_6","na - during pregnancy, had difficulty with daylight vision"
"m48_1","na - during pregnancy, had difficulty with night blindness"
"m48_2","na - during pregnancy, had difficulty with night blindness"
"m48_3","na - during pregnancy, had difficulty with night blindness"
"m48_4","na - during pregnancy, had difficulty with night blindness"
"m48_5","na - during pregnancy, had difficulty with night blindness"
"m48_6","na - during pregnancy, had difficulty with night blindness"
"m49a_1","na - during pregnancy took: sp/fansidar for malaria"
"m49a_2","na - during pregnancy took: sp/fansidar for malaria"
"m49a_3","na - during pregnancy took: sp/fansidar for malaria"
"m49a_4","na - during pregnancy took: sp/fansidar for malaria"
"m49a_5","na - during pregnancy took: sp/fansidar for malaria"
"m49a_6","na - during pregnancy took: sp/fansidar for malaria"
"m49b_1","na - during pregnancy took: chloroquine for malaria"
"m49b_2","na - during pregnancy took: chloroquine for malaria"
"m49b_3","na - during pregnancy took: chloroquine for malaria"
"m49b_4","na - during pregnancy took: chloroquine for malaria"
"m49b_5","na - during pregnancy took: chloroquine for malaria"
"m49b_6","na - during pregnancy took: chloroquine for malaria"
"m49c_1","na - during pregnancy took: cs drug for malaria"
"m49c_2","na - during pregnancy took: cs drug for malaria"
"m49c_3","na - during pregnancy took: cs drug for malaria"
"m49c_4","na - during pregnancy took: cs drug for malaria"
"m49c_5","na - during pregnancy took: cs drug for malaria"
"m49c_6","na - during pregnancy took: cs drug for malaria"
"m49d_1","na - during pregnancy took: cs drug for malaria"
"m49d_2","na - during pregnancy took: cs drug for malaria"
"m49d_3","na - during pregnancy took: cs drug for malaria"
"m49d_4","na - during pregnancy took: cs drug for malaria"
"m49d_5","na - during pregnancy took: cs drug for malaria"
"m49d_6","na - during pregnancy took: cs drug for malaria"
"m49e_1","na - during pregnancy took: cs drug for malaria"
"m49e_2","na - during pregnancy took: cs drug for malaria"
"m49e_3","na - during pregnancy took: cs drug for malaria"
"m49e_4","na - during pregnancy took: cs drug for malaria"
"m49e_5","na - during pregnancy took: cs drug for malaria"
"m49e_6","na - during pregnancy took: cs drug for malaria"
"m49f_1","na - during pregnancy took: cs drug for malaria"
"m49f_2","na - during pregnancy took: cs drug for malaria"
"m49f_3","na - during pregnancy took: cs drug for malaria"
"m49f_4","na - during pregnancy took: cs drug for malaria"
"m49f_5","na - during pregnancy took: cs drug for malaria"
"m49f_6","na - during pregnancy took: cs drug for malaria"
"m49g_1","na - during pregnancy took: cs drug for malaria"
"m49g_2","na - during pregnancy took: cs drug for malaria"
"m49g_3","na - during pregnancy took: cs drug for malaria"
"m49g_4","na - during pregnancy took: cs drug for malaria"
"m49g_5","na - during pregnancy took: cs drug for malaria"
"m49g_6","na - during pregnancy took: cs drug for malaria"
"m49x_1","na - during pregnancy took: other drug for malaria"
"m49x_2","na - during pregnancy took: other drug for malaria"
"m49x_3","na - during pregnancy took: other drug for malaria"
"m49x_4","na - during pregnancy took: other drug for malaria"
"m49x_5","na - during pregnancy took: other drug for malaria"
"m49x_6","na - during pregnancy took: other drug for malaria"
"m49z_1","na - during pregnancy took: don't know"
"m49z_2","na - during pregnancy took: don't know"
"m49z_3","na - during pregnancy took: don't know"
"m49z_4","na - during pregnancy took: don't know"
"m49z_5","na - during pregnancy took: don't know"
"m49z_6","na - during pregnancy took: don't know"
"m49y_1","na - during pregnancy took: no drug for malaria"
"m49y_2","na - during pregnancy took: no drug for malaria"
"m49y_3","na - during pregnancy took: no drug for malaria"
"m49y_4","na - during pregnancy took: no drug for malaria"
"m49y_5","na - during pregnancy took: no drug for malaria"
"m49y_6","na - during pregnancy took: no drug for malaria"
"m54_1","na - received vitamin a dose in first 2 months after delivery"
"m54_2","na - received vitamin a dose in first 2 months after delivery"
"m54_3","na - received vitamin a dose in first 2 months after delivery"
"m54_4","na - received vitamin a dose in first 2 months after delivery"
"m54_5","na - received vitamin a dose in first 2 months after delivery"
"m54_6","na - received vitamin a dose in first 2 months after delivery"
"m55_1","given child anything other than breast milk"
"m55_2","given child anything other than breast milk"
"m55_3","given child anything other than breast milk"
"m55_4","given child anything other than breast milk"
"m55_5","given child anything other than breast milk"
"m55_6","given child anything other than breast milk"
"m57a_1","antenatal care: respondent's home"
"m57a_2","antenatal care: respondent's home"
"m57a_3","antenatal care: respondent's home"
"m57a_4","antenatal care: respondent's home"
"m57a_5","antenatal care: respondent's home"
"m57a_6","antenatal care: respondent's home"
"m57b_1","antenatal care: other home"
"m57b_2","antenatal care: other home"
"m57b_3","antenatal care: other home"
"m57b_4","antenatal care: other home"
"m57b_5","antenatal care: other home"
"m57b_6","antenatal care: other home"
"m57c_1","na - antenatal care: cs home"
"m57c_2","na - antenatal care: cs home"
"m57c_3","na - antenatal care: cs home"
"m57c_4","na - antenatal care: cs home"
"m57c_5","na - antenatal care: cs home"
"m57c_6","na - antenatal care: cs home"
"m57d_1","na - antenatal care: cs home"
"m57d_2","na - antenatal care: cs home"
"m57d_3","na - antenatal care: cs home"
"m57d_4","na - antenatal care: cs home"
"m57d_5","na - antenatal care: cs home"
"m57d_6","na - antenatal care: cs home"
"m57e_1","antenatal care: government hospital"
"m57e_2","antenatal care: government hospital"
"m57e_3","antenatal care: government hospital"
"m57e_4","antenatal care: government hospital"
"m57e_5","antenatal care: government hospital"
"m57e_6","antenatal care: government hospital"
"m57f_1","antenatal care: phc/primary hospital"
"m57f_2","antenatal care: phc/primary hospital"
"m57f_3","antenatal care: phc/primary hospital"
"m57f_4","antenatal care: phc/primary hospital"
"m57f_5","antenatal care: phc/primary hospital"
"m57f_6","antenatal care: phc/primary hospital"
"m57g_1","antenatal care: health post"
"m57g_2","antenatal care: health post"
"m57g_3","antenatal care: health post"
"m57g_4","antenatal care: health post"
"m57g_5","antenatal care: health post"
"m57g_6","antenatal care: health post"
"m57h_1","antenatal care: basic health care center"
"m57h_2","antenatal care: basic health care center"
"m57h_3","antenatal care: basic health care center"
"m57h_4","antenatal care: basic health care center"
"m57h_5","antenatal care: basic health care center"
"m57h_6","antenatal care: basic health care center"
"m57i_1","antenatal care: urban health center"
"m57i_2","antenatal care: urban health center"
"m57i_3","antenatal care: urban health center"
"m57i_4","antenatal care: urban health center"
"m57i_5","antenatal care: urban health center"
"m57i_6","antenatal care: urban health center"
"m57j_1","antenatal care: community health unit"
"m57j_2","antenatal care: community health unit"
"m57j_3","antenatal care: community health unit"
"m57j_4","antenatal care: community health unit"
"m57j_5","antenatal care: community health unit"
"m57j_6","antenatal care: community health unit"
"m57k_1","antenatal care: other public facilities"
"m57k_2","antenatal care: other public facilities"
"m57k_3","antenatal care: other public facilities"
"m57k_4","antenatal care: other public facilities"
"m57k_5","antenatal care: other public facilities"
"m57k_6","antenatal care: other public facilities"
"m57l_1","na - antenatal care: cs public health"
"m57l_2","na - antenatal care: cs public health"
"m57l_3","na - antenatal care: cs public health"
"m57l_4","na - antenatal care: cs public health"
"m57l_5","na - antenatal care: cs public health"
"m57l_6","na - antenatal care: cs public health"
"m57m_1","antenatal care: private hospital"
"m57m_2","antenatal care: private hospital"
"m57m_3","antenatal care: private hospital"
"m57m_4","antenatal care: private hospital"
"m57m_5","antenatal care: private hospital"
"m57m_6","antenatal care: private hospital"
"m57n_1","antenatal care: private clinic"
"m57n_2","antenatal care: private clinic"
"m57n_3","antenatal care: private clinic"
"m57n_4","antenatal care: private clinic"
"m57n_5","antenatal care: private clinic"
"m57n_6","antenatal care: private clinic"
"m57o_1","antenatal care: pharmacy"
"m57o_2","antenatal care: pharmacy"
"m57o_3","antenatal care: pharmacy"
"m57o_4","antenatal care: pharmacy"
"m57o_5","antenatal care: pharmacy"
"m57o_6","antenatal care: pharmacy"
"m57p_1","antenatal care: other private facilities"
"m57p_2","antenatal care: other private facilities"
"m57p_3","antenatal care: other private facilities"
"m57p_4","antenatal care: other private facilities"
"m57p_5","antenatal care: other private facilities"
"m57p_6","antenatal care: other private facilities"
"m57q_1","na - antenatal care: cs private medical"
"m57q_2","na - antenatal care: cs private medical"
"m57q_3","na - antenatal care: cs private medical"
"m57q_4","na - antenatal care: cs private medical"
"m57q_5","na - antenatal care: cs private medical"
"m57q_6","na - antenatal care: cs private medical"
"m57r_1","na - antenatal care: cs private medical"
"m57r_2","na - antenatal care: cs private medical"
"m57r_3","na - antenatal care: cs private medical"
"m57r_4","na - antenatal care: cs private medical"
"m57r_5","na - antenatal care: cs private medical"
"m57r_6","na - antenatal care: cs private medical"
"m57na_1","na - antenatal care: ngo hospital"
"m57na_2","na - antenatal care: ngo hospital"
"m57na_3","na - antenatal care: ngo hospital"
"m57na_4","na - antenatal care: ngo hospital"
"m57na_5","na - antenatal care: ngo hospital"
"m57na_6","na - antenatal care: ngo hospital"
"m57nb_1","antenatal care: fpan"
"m57nb_2","antenatal care: fpan"
"m57nb_3","antenatal care: fpan"
"m57nb_4","antenatal care: fpan"
"m57nb_5","antenatal care: fpan"
"m57nb_6","antenatal care: fpan"
"m57nc_1","antenatal care: marie stopes"
"m57nc_2","antenatal care: marie stopes"
"m57nc_3","antenatal care: marie stopes"
"m57nc_4","antenatal care: marie stopes"
"m57nc_5","antenatal care: marie stopes"
"m57nc_6","antenatal care: marie stopes"
"m57nd_1","antenatal care: other ngo facilities"
"m57nd_2","antenatal care: other ngo facilities"
"m57nd_3","antenatal care: other ngo facilities"
"m57nd_4","antenatal care: other ngo facilities"
"m57nd_5","antenatal care: other ngo facilities"
"m57nd_6","antenatal care: other ngo facilities"
"m57ne_1","na - antenatal care: ngo medical"
"m57ne_2","na - antenatal care: ngo medical"
"m57ne_3","na - antenatal care: ngo medical"
"m57ne_4","na - antenatal care: ngo medical"
"m57ne_5","na - antenatal care: ngo medical"
"m57ne_6","na - antenatal care: ngo medical"
"m57s_1","na - antenatal care: cs other"
"m57s_2","na - antenatal care: cs other"
"m57s_3","na - antenatal care: cs other"
"m57s_4","na - antenatal care: cs other"
"m57s_5","na - antenatal care: cs other"
"m57s_6","na - antenatal care: cs other"
"m57t_1","na - antenatal care: cs other"
"m57t_2","na - antenatal care: cs other"
"m57t_3","na - antenatal care: cs other"
"m57t_4","na - antenatal care: cs other"
"m57t_5","na - antenatal care: cs other"
"m57t_6","na - antenatal care: cs other"
"m57u_1","na - antenatal care: cs other"
"m57u_2","na - antenatal care: cs other"
"m57u_3","na - antenatal care: cs other"
"m57u_4","na - antenatal care: cs other"
"m57u_5","na - antenatal care: cs other"
"m57u_6","na - antenatal care: cs other"
"m57v_1","na - antenatal care: cs other"
"m57v_2","na - antenatal care: cs other"
"m57v_3","na - antenatal care: cs other"
"m57v_4","na - antenatal care: cs other"
"m57v_5","na - antenatal care: cs other"
"m57v_6","na - antenatal care: cs other"
"m57x_1","antenatal care: other"
"m57x_2","antenatal care: other"
"m57x_3","antenatal care: other"
"m57x_4","antenatal care: other"
"m57x_5","antenatal care: other"
"m57x_6","antenatal care: other"
"m60_1","drugs for intestinal parasites during pregnancy"
"m60_2","drugs for intestinal parasites during pregnancy"
"m60_3","drugs for intestinal parasites during pregnancy"
"m60_4","drugs for intestinal parasites during pregnancy"
"m60_5","drugs for intestinal parasites during pregnancy"
"m60_6","drugs for intestinal parasites during pregnancy"
"m61_1","time spent at place of delivery"
"m61_2","time spent at place of delivery"
"m61_3","time spent at place of delivery"
"m61_4","time spent at place of delivery"
"m61_5","time spent at place of delivery"
"m61_6","time spent at place of delivery"
"m62_1","respondent's health checked before discharge"
"m62_2","respondent's health checked before discharge"
"m62_3","respondent's health checked before discharge"
"m62_4","respondent's health checked before discharge"
"m62_5","respondent's health checked before discharge"
"m62_6","respondent's health checked before discharge"
"m63_1","how long before discharging respondent health check took place"
"m63_2","how long before discharging respondent health check took place"
"m63_3","how long before discharging respondent health check took place"
"m63_4","how long before discharging respondent health check took place"
"m63_5","how long before discharging respondent health check took place"
"m63_6","how long before discharging respondent health check took place"
"m64_1","who checked respondent health before discharge"
"m64_2","who checked respondent health before discharge"
"m64_3","who checked respondent health before discharge"
"m64_4","who checked respondent health before discharge"
"m64_5","who checked respondent health before discharge"
"m64_6","who checked respondent health before discharge"
"m66_1","respondent's health checked after discharge/delivery at home"
